symbiont,symbiont_clade,worm,host_species,sampling_site,latitude ,longitude,depth,sampling_date
Ileu1BER2.Alpha1,Alpha1,Ileu1BER2,I. leukodermatus 1,Bermuda,32.324033,-64.73855,-1,Nov.09
Ileu1BER1.Alpha10,Alpha10,Ileu1BER1,I. leukodermatus 1,Bermuda,32.324033,-64.73855,-1,Nov.09
Ileu1BER2.Alpha10,Alpha10,Ileu1BER2,I. leukodermatus 1,Bermuda,32.324033,-64.73855,-1,Nov.09
ImakBAH1.Alpha10,Alpha10,ImakBAH1,I. makropetalos,Bahamas,23.774533,-76.09835,-2.5,Apr.13
ImakBAH2.Alpha10,Alpha10,ImakBAH2,I. makropetalos,Bahamas,23.774533,-76.09835,-4,Apr.13
ItriBAH1.Alpha10,Alpha10,ItriBAH1,I. triangulatus,Bahamas,23.72595,-76.178733,-6,Apr.13
ItriBAH2.Alpha10,Alpha10,ItriBAH2,I. triangulatus,Bahamas,23.72595,-76.178733,-6,Apr.13
Osp1DAH1.Alpha10,Alpha10,OspD1,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
Osp1DAH2.Alpha10,Alpha10,OspD2,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
IexuBAH1a.Alpha12,Alpha12,IexuBAH1,I. exumae,Bahamas,23.774533,-76.09835,-2.5,Apr.13
ImakBAH1.Alpha12,Alpha12,ImakBAH1,I. makropetalos,Bahamas,23.774533,-76.09835,-2.5,Apr.13
ImakBAH2.Alpha12,Alpha12,ImakBAH2,I. makropetalos,Bahamas,23.774533,-76.09835,-4,Apr.13
OfilPIA1.Alpha12,Alpha12,OfilPIA1,O. filicauda,Pianosa,42.574217,10.066183,-6,May.12
Osp1DAH1.Alpha12,Alpha12,OspD1,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
Osp1DAH2.Alpha12,Alpha12,OspD2,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
IexuBAH2.Alpha13,Alpha13,IexuBAH2,I. exumae,Bahamas,23.774533,-76.09835,-2.5,Apr.13
IexuBAH3.Alpha13,Alpha13,IexuBAH3,I. exumae,Bahamas,23.774533,-76.09835,-2.5,Apr.13
Ileu1BER1.Alpha2,Alpha2,Ileu1BER1,I. leukodermatus 1,Bermuda,32.324033,-64.73855,-1,Nov.09
Ileu1BER2.Alpha2,Alpha2,Ileu1BER2,I. leukodermatus 1,Bermuda,32.324033,-64.73855,-1,Nov.09
IexuBAH1a.Alpha3,Alpha3,IexuBAH1,I. exumae,Bahamas,23.774533,-76.09835,-2.5,Apr.13
ImanLIZ1.Alpha3,Alpha3,ImanL,I. makropetalos,Lizard Island,-14.69,145.451667,-3,Feburary 2006
ItriBAH1.Alpha3,Alpha3,ItriBAH1,I. triangulatus,Bahamas,23.72595,-76.178733,-6,Apr.13
ItriBAH2.Alpha3,Alpha3,ItriBAH2,I. triangulatus,Bahamas,23.72595,-76.178733,-6,Apr.13
OalbHER1.Alpha3,Alpha3,OalbH1,O. albidus,Heran Island,-23.44344,151.91307,-0.5,Aug.12
OalbHER2.Alpha3,Alpha3,OalbH2,O. albidus,Heran Island,-23.44344,151.91307,-0.5,Aug.12
OloiHER1.Alpha3,Alpha3,OloiH1,O. loisae,Heran Island,-23.4349,151.945,-5,Sep.12
OloiHER2.Alpha3,Alpha3,OloiH2,O. loisae,Heran Island,-23.4349,151.945,-5,Sep.12
OloiLIZ1.Alpha3,Alpha3,OloiL1,O. loisae,Lizard Island,-14.648333,145.451667,-3,Feb.06
OloiLIZ2.Alpha3,Alpha3,OloiL2,O. loisae,Lizard Island,-14.648333,145.451667,-3,Feb.06
ImanLIZ1.Alpha4,Alpha4,ImanL,I. manae,Lizard Island,-14.69,145.451667,-3,Feburary 2006
ImanLIZ1.Alpha5,Alpha5,ImanL,I. manae,Lizard Island,-14.69,145.451667,-3,Feburary 2006
Osp1HER1.Alpha5,Alpha5,OspH1,O. sp. 1,Heran Island,-23.4349,151.945,-7,Sep.12
Osp1OAH1.Alpha5,Alpha5,Osp1OAH1,O. sp. 1,Oahu,21.468722,-157.818444,-8,Nov.15
OvacBAH1.Alpha6,Alpha6,OvacBAH1,O. vacuus,Bahamas,23.770117,-76.130067,-0.2,Apr.13
OvacBAH2.Alpha6,Alpha6,OvacBAH2,O. vacuus,Bahamas,23.770117,-76.130067,-0.2,Apr.13
OilvPIA1.Alpha7,Alpha7,OilvPIA1,O. ilvae,Pianosa,42.574217,10.066183,-6,May.12
OilvPIA2.Alpha7,Alpha7,OilvPIA2,O. ilvae,Pianosa,42.574217,10.066183,-6,May.12
OilvSAN1.Alpha7,Alpha7,OilvS1,O. ilvae,Sant'Andrea,42.80816,10.142104,-6,Jun.14
OilvSAN2.Alpha7,Alpha7,OilvS2,O. ilvae,Sant'Andrea,42.80816,10.142104,-6,Jun.14
Osp1DAH1.Alpha8,Alpha8,OspD1,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
Osp1DAH2.Alpha8,Alpha8,OspD2,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
Osp1DAH1.Alpha9,Alpha9,OspD1,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
Osp1DAH2.Alpha9,Alpha9,OspD2,O. sp. 1,Dahab,28.505376,34.521874,-6.5,Oct.09
